rsi,macd,sma_short,sma_long,volume,label
50.0,0.0,13.558127077148724,13.558127077148724,0.0,0
50.0,0.0,5.570917957983949,5.570917957983949,0.0,0
50.0,0.0,0.20030188535666132,0.20030188535666132,0.0,0
50.0,0.0,6.291139649125382,6.291139649125382,0.0,1
50.0,0.0,0.592070510071758,0.592070510071758,0.0,1
50.0,0.0,2.3684882836944654,2.3684882836944654,0.0,1
50.0,0.0,6.355367617422562,6.355367617422562,0.0,1
50.0,0.0,0.030983,0.030983,0.0,0
50.0,0.0,0.19465,0.19465,0.0,0
50.0,0.0,1.91901,1.91901,0.0,0
50.0,0.0,0.60761,0.60761,0.0,0
50.0,0.0,0.7774167014904113,0.7774167014904113,0.0,1
50.0,0.0,2.657680123971986,2.657680123971986,0.0,1
50.0,0.0,2.6659,2.6659,0.0,0
50.0,0.0,0.3367059671180118,0.3367059671180118,0.0,0
50.0,0.0,2.4687956286687815,2.4687956286687815,0.0,0
50.0,0.0,14.774330335886258,14.774330335886258,0.0,0
50.0,0.0,162.8037375428847,162.8037375428847,0.0,0
50.0,0.0,0.3206352094774256,0.3206352094774256,0.0,1
50.0,0.0,157.7810324702426,157.7810324702426,0.0,0
50.0,0.0,2.886385447912203,2.886385447912203,0.0,0
50.0,0.0,2.7263512693221834,2.7263512693221834,0.0,0
50.0,0.0,6.196034740368868,6.196034740368868,0.0,1
50.0,0.0,2.3446008628051933,2.3446008628051933,0.0,1
50.0,0.0,2.622115167746552,2.622115167746552,0.0,0
50.0,0.0,14.654437617887766,14.654437617887766,0.0,0
50.0,0.0,0.20037666877115745,0.20037666877115745,0.0,1
50.0,0.0,6.328141664757256,6.328141664757256,0.0,1
50.0,0.0,5.663972687165553,5.663972687165553,0.0,1
50.0,0.0,2.441994703240199,2.441994703240199,0.0,0
50.0,0.0,14.162803869520717,14.162803869520717,0.0,0
50.0,0.0,13.558127077148724,13.558127077148724,0.0,0
50.0,0.0,5.570917957983949,5.570917957983949,0.0,0
50.0,0.0,0.20030188535666132,0.20030188535666132,0.0,0
50.0,0.0,6.291139649125382,6.291139649125382,0.0,1
50.0,0.0,0.592070510071758,0.592070510071758,0.0,1
50.0,0.0,2.3684882836944654,2.3684882836944654,0.0,1
50.0,0.0,6.355367617422562,6.355367617422562,0.0,1
50.0,0.0,0.030983,0.030983,0.0,0
50.0,0.0,0.19465,0.19465,0.0,0
50.0,0.0,1.91901,1.91901,0.0,0
50.0,0.0,0.60761,0.60761,0.0,0
50.0,0.0,0.7774167014904113,0.7774167014904113,0.0,1
50.0,0.0,2.657680123971986,2.657680123971986,0.0,1
50.0,0.0,0.17916,0.17916,0.0,0
50.0,0.0,0.021532,0.021532,0.0,0
50.0,0.0,0.60769,0.60769,0.0,0
50.0,0.0,1.17805,1.17805,0.0,1
50.0,0.0,0.5237,0.5237,0.0,1
50.0,0.0,1.3507,1.3507,0.0,0
50.0,0.0,0.030821,0.030821,0.0,1
50.0,0.0,0.084453,0.084453,0.0,0
50.0,0.0,0.76564,0.76564,0.0,1
50.0,0.0,0.25144,0.25144,0.0,1
50.0,0.0,0.002595,0.002595,0.0,1
