market,amount,planned_price,profit,timestamp,score
MAGIC-EUR,36.829134720700985,0.14461919999999998,-5.379999999999999,1759596772.7403858,59.251708652793
USDC-EUR,9.598625212799794,0.8406288,-8.150384640692561,1759600555.1401474,56.753629107179435
CAKE-EUR,2.9715482180796724,2.853477,-8.56489342897104,1759594013.4397054,56.40539108884816
MINA-EUR,56.71662796425305,0.14068889999999998,-8.06,1759591618.8734286,56.37283372035747
ETHFI-EUR,5.644914095299509,1.508463,-8.601155607007861,1759590762.0626247,56.34239525203914
XRP-EUR,3.5560906668096015,2.5243613999999996,-9.06753334767113,1759591159.8121743,55.896905745660774
MOODENG-EUR,60.15110152349987,0.14386680000000002,-8.741158073395,1759641030.739887,55.65733091137
AIXBT-EUR,101.24178566877903,0.08170371,-8.355383329458665,1759590678.4770904,55.63219881385355
WLD-EUR,8.679059992854537,1.062171,-9.311763466333632,1759602081.0850608,55.60144593373782
STX-EUR,18.34992219362734,0.5034744,-9.33203643079112,1759625414.2893634,55.484464347272606
