market,amount,planned_price,profit,timestamp,score
MAGIC-EUR,36.829134720700985,0.14461919999999998,-5.379999999999999,1759596772.7403858,59.251708652793
MAGIC-EUR,36.829134720700985,0.14461919999999998,-5.379999999999999,1759596772.7403858,59.251708652793
USDC-EUR,9.598625212799794,0.8406288,-8.150384640692561,1759600555.1401474,56.753629107179435
USDC-EUR,9.598625212799794,0.8406288,-8.150384640692561,1759600555.1401474,56.753629107179435
CAKE-EUR,2.9715482180796724,2.853477,-8.56489342897104,1759594013.4397054,56.40539108884816
CAKE-EUR,2.9715482180796724,2.853477,-8.56489342897104,1759594013.4397054,56.40539108884816
MINA-EUR,56.71662796425305,0.14068889999999998,-8.06,1759591618.8734286,56.37283372035747
MINA-EUR,56.71662796425305,0.14068889999999998,-8.06,1759591618.8734286,56.37283372035747
ETHFI-EUR,5.644914095299509,1.508463,-8.601155607007861,1759590762.0626247,56.34239525203914
ETHFI-EUR,5.644914095299509,1.508463,-8.601155607007861,1759590762.0626247,56.34239525203914
XRP-EUR,3.5560906668096015,2.5243613999999996,-9.06753334767113,1759591159.8121743,55.896905745660774
XRP-EUR,3.5560906668096015,2.5243613999999996,-9.06753334767113,1759591159.8121743,55.896905745660774
MOODENG-EUR,60.15110152349987,0.14386680000000002,-8.741158073395,1759641030.739887,55.65733091137
MOODENG-EUR,60.15110152349987,0.14386680000000002,-8.741158073395,1759641030.739887,55.65733091137
AIXBT-EUR,101.24178566877903,0.08170371,-8.355383329458665,1759590678.4770904,55.63219881385355
AIXBT-EUR,101.24178566877903,0.08170371,-8.355383329458665,1759590678.4770904,55.63219881385355
WLD-EUR,8.679059992854537,1.062171,-9.311763466333632,1759602081.0850608,55.60144593373782
WLD-EUR,8.679059992854537,1.062171,-9.311763466333632,1759602081.0850608,55.60144593373782
STX-EUR,18.34992219362734,0.5034744,-9.33203643079112,1759625414.2893634,55.484464347272606
STX-EUR,18.34992219362734,0.5034744,-9.33203643079112,1759625414.2893634,55.484464347272606
ONDO-EUR,12.15482533135363,0.7684677,-9.434940066956628,1759614828.6544108,55.44351167972984
ONDO-EUR,12.15482533135363,0.7684677,-9.434940066956628,1759614828.6544108,55.44351167972984
ENA-EUR,18.96012796451725,0.4914261,-9.411617920306718,1759594038.5962985,55.39878080004811
ENA-EUR,18.96012796451725,0.4914261,-9.411617920306718,1759594038.5962985,55.39878080004811
CAKE-EUR,3.32262471151394,2.8627830000000003,-9.60803387828486,1759602046.1533928,55.358739874600005
CAKE-EUR,3.32262471151394,2.8627830000000003,-9.60803387828486,1759602046.1533928,55.358739874600005
NEAR-EUR,3.8747558702632485,2.4572789999999998,-9.617531545580409,1759622704.9883227,55.34372089571696
NEAR-EUR,3.8747558702632485,2.4572789999999998,-9.617531545580409,1759622704.9883227,55.34372089571696
HOOK-EUR,95.08978835802226,0.09074142,-8.715739821319605,1759606144.8638806,55.33336229510017
