market,amount,planned_price,profit,timestamp,iso_ts
BABY-EUR,211.73715069041276,0.04511529,-9.6490736941128,1759604378.2881126,2025-10-04T18:59:38.288113+00:00
HOOK-EUR,95.08978835802226,0.09074142,-8.715739821319605,1759606144.8638806,2025-10-04T19:29:04.863881+00:00
SHIB-EUR,893009.2906279286,1.046331e-05,-9.438215192646577,1759609539.2890189,2025-10-04T20:25:39.289019+00:00
CROSS-EUR,49.46571761515394,0.1882485,-9.405906204521523,1759610427.0560374,2025-10-04T20:40:27.056037+00:00
MORPHO-EUR,6.012415650753138,1.5857819999999998,-9.630687389376376,1759612699.5890734,2025-10-04T21:18:19.589073+00:00
SUI-EUR,3.334852539331974,2.974653,-10.020231424930783,1759614776.3060899,2025-10-04T21:52:56.306090+00:00
ONDO-EUR,12.15482533135363,0.7684677,-9.434940066956628,1759614828.6544108,2025-10-04T21:53:48.654411+00:00
PENGU-EUR,382.315109360223,0.02489256,-9.612931109753447,1759615692.5631158,2025-10-04T22:08:12.563116+00:00
NEIRO-EUR,35244.751715167586,0.0002368971,-8.433716637922451,1759618664.3051167,2025-10-04T22:57:44.305117+00:00
NEAR-EUR,3.8747558702632485,2.4572789999999998,-9.617531545580409,1759622704.9883227,2025-10-05T00:05:04.988323+00:00
RAY-EUR,4.132393356952177,2.4073830000000003,-10.048740926100608,1759622965.0612652,2025-10-05T00:09:25.061265+00:00
BIO-EUR,82.0566936681088,0.1164339,-9.650687742306276,1759625089.251745,2025-10-05T00:44:49.251745+00:00
STX-EUR,18.34992219362734,0.5034744,-9.33203643079112,1759625414.2893634,2025-10-05T00:50:14.289363+00:00
BOME-EUR,6627.206088721874,0.001417185,-9.486845516005364,1759625767.2045898,2025-10-05T00:56:07.204590+00:00
SKL-EUR,469.07907690430966,0.020508839999999997,-9.717442157149678,1759626093.6758232,2025-10-05T01:01:33.675823+00:00
COTI-EUR,239.0443847557101,0.03858921,-9.317711073392823,1759626364.4647777,2025-10-05T01:06:04.464778+00:00
SKY-EUR,169.2713903564724,0.05621913,-9.612414444172998,1759637400.9277017,2025-10-05T04:10:00.927702+00:00
MOODENG-EUR,60.15110152349987,0.14386680000000002,-8.741158073395,1759641030.739887,2025-10-05T05:10:30.739887+00:00
AGLD-EUR,19.49639702100433,0.4888818,-9.627710776912359,1759590557.386722,2025-10-04T15:09:17.386722+00:00
POWR-EUR,73.8236416946435,0.1222254,-9.114266803620687,1759590643.0331419,2025-10-04T15:10:43.033142+00:00
GOAT-EUR,120.75115004128904,0.07286103,-8.886922389588749,1759590659.6582956,2025-10-04T15:10:59.658296+00:00
GALA-EUR,636.8284527963949,0.01327095,-8.536685409735673,1759590668.9663284,2025-10-04T15:11:08.966328+00:00
AIXBT-EUR,101.24178566877903,0.08170371,-8.355383329458665,1759590678.4770904,2025-10-04T15:11:18.477090+00:00
ACT-EUR,313.11687889413315,0.02661912,-8.419086639705451,1759590688.6308458,2025-10-04T15:11:28.630846+00:00
ALPHA-EUR,665.520045361639,0.01270764,-8.542615302261998,1759590698.9503424,2025-10-04T15:11:38.950342+00:00
ARPA-EUR,445.5527847049044,0.01786455,-8.04,1759590716.0750117,2025-10-04T15:11:56.075012+00:00
CPOOL-EUR,80.3633822501747,0.1133352,-9.2,1759590725.7607517,2025-10-04T15:12:05.760752+00:00
CHZ-EUR,241.5712635227392,0.03770316,-9.2,1759590735.0362983,2025-10-04T15:12:15.036298+00:00
DOGS-EUR,87920.5630000964,0.0001026927,-9.12,1759590744.6326156,2025-10-04T15:12:24.632616+00:00
ETHFI-EUR,5.644914095299509,1.508463,-8.601155607007861,1759590762.0626247,2025-10-04T15:12:42.062625+00:00
XRP-EUR,3.5560906668096015,2.5243613999999996,-9.06753334767113,1759591159.8121743,2025-10-04T15:19:19.812174+00:00
MINA-EUR,56.71662796425305,0.14068889999999998,-8.06,1759591618.8734286,2025-10-04T15:26:58.873429+00:00
HAEDAL-EUR,88.25641946489495,0.11026620000000001,-9.83,1759592449.711137,2025-10-04T15:40:49.711137+00:00
KAIA-EUR,74.84742875901046,0.12793770000000002,-9.672533218526922,1759592457.8338366,2025-10-04T15:40:57.833837+00:00
CHILLGUY-EUR,265.22896555253385,0.03500739,-9.378761450903148,1759592481.774862,2025-10-04T15:41:21.774862+00:00
