market,profit,timestamp,iso_ts,buy_price,sell_price,amount,reason,bitvavo_balance,open_trade_buy_price,open_trade_highest_price,open_trade_amount,open_trade_timestamp
XPL-EUR,-9.63102436021341,1759472325.6982656,2025-10-03T06:18:45.698266+00:00,0.76564,0.0,12.579050676836907,saldo_error,,,,,
MORPHO-EUR,-9.630687389376376,1759612699.5890734,2025-10-04T21:18:19.589073+00:00,1.6018,0.0,6.012415650753138,saldo_error,,1.6018,1.6018,6.012415650753138,1759612468.004513
MORPHO-EUR,-9.630687389376376,1759612699.5890734,2025-10-04T21:18:19.589073+00:00,1.6018,0.0,6.012415650753138,saldo_error,,1.6018,1.6018,6.012415650753138,1759612468.004513
DGB-EUR,-9.628131766293373,1759598002.6349907,2025-10-04T17:13:22.634991+00:00,0.0068322,0.0,1409.2286183503663,saldo_error,,0.0068322,0.00702,1409.2286183503663,1759591927.7728825
DGB-EUR,-9.628131766293373,1759598002.6349907,2025-10-04T17:13:22.634991+00:00,0.0068322,0.0,1409.2286183503663,saldo_error,,0.0068322,0.00702,1409.2286183503663,1759591927.7728825
AGLD-EUR,-9.627710776912359,1759590557.386722,2025-10-04T15:09:17.386722+00:00,0.49382,0.0,19.49639702100433,saldo_error,,0.49382,0.49465,19.49639702100433,1759556091.6699095
AGLD-EUR,-9.627710776912359,1759590557.386722,2025-10-04T15:09:17.386722+00:00,0.49382,0.0,19.49639702100433,saldo_error,,0.49382,0.49465,19.49639702100433,1759556091.6699095
SUPER-EUR,-9.62333355392421,1759474248.741234,2025-10-03T06:50:48.741234+00:00,0.52886,0.0,18.196372487849732,saldo_error,,,,,
SUPER-EUR,-9.62333355392421,1759474248.741234,2025-10-03T06:50:48.741234+00:00,0.52886,0.0,18.196372487849732,saldo_error,,,,,
NEAR-EUR,-9.617531545580409,1759622704.9883227,2025-10-05T00:05:04.988323+00:00,2.4821,0.0,3.8747558702632485,saldo_error,,2.4821,2.5225,3.8747558702632485,1759612411.7653654
NEAR-EUR,-9.617531545580409,1759622704.9883227,2025-10-05T00:05:04.988323+00:00,2.4821,0.0,3.8747558702632485,saldo_error,,2.4821,2.5225,3.8747558702632485,1759612411.7653654
PENGU-EUR,-9.612931109753447,1759615692.5631158,2025-10-04T22:08:12.563116+00:00,0.025144,0.0,382.315109360223,saldo_error,,0.025144,0.025643,382.315109360223,1759612358.8861384
PENGU-EUR,-9.612931109753447,1759615692.5631158,2025-10-04T22:08:12.563116+00:00,0.025144,0.0,382.315109360223,saldo_error,,0.025144,0.025643,382.315109360223,1759612358.8861384
SKY-EUR,-9.612414444172998,1759637400.9277017,2025-10-05T04:10:00.927702+00:00,0.056787,0.0,169.2713903564724,saldo_error,,0.056787,0.058164,169.2713903564724,1759609296.852936
SKY-EUR,-9.612414444172998,1759637400.9277017,2025-10-05T04:10:00.927702+00:00,0.056787,0.0,169.2713903564724,saldo_error,,0.056787,0.058164,169.2713903564724,1759609296.852936
CAKE-EUR,-9.60803387828486,1759602046.1533928,2025-10-04T18:20:46.153393+00:00,2.8917,0.0,3.32262471151394,saldo_error,,2.8917,2.9843,3.32262471151394,1759597820.7141492
