market,entry_price,exit_price,profit,label,timestamp,close_timestamp,rsi,macd,sma,volume
ADA-EUR,0.41555432639381645,0.37222,-3.2732,0,1765199850.860206,0,50.0,0.0,0.41555432639381645,0.0
MOODENG-EUR,0.07938721294979398,0.08003,0.0004,1,1765202666.1767738,0,50.0,0.0,0.07938721294979398,0.0
MOODENG-EUR,0.07353019950263075,0.08097,0.6672,1,1765205873.148247,0,50.0,0.0,0.07353019950263075,0.0
APT-EUR,1.51328389033249,0.0,0.0,0,1765206414.4250636,0,50.0,0.0,1.51328389033249,0.0
ALGO-EUR,0.11583599292483317,0.0,0.0,0,1765206414.4250636,0,50.0,0.0,0.11583599292483317,0.0
CRV-EUR,0.3416265060282535,0.0,0.0,0,1765206414.4250636,0,50.0,0.0,0.3416265060282535,0.0
POL-EUR,0.10671316239995739,0.0,0.0,0,1765206414.4250636,0,50.0,0.0,0.10671316239995739,0.0
XRP-EUR,1.80289,0.0,0.0,0,1765206414.4250636,0,50.0,0.0,1.80289,0.0
SUI-EUR,1.38,0.0,0.0,0,1765206414.4250636,0,50.0,0.0,1.38,0.0
ALGO-EUR,0.13901116380068546,0.11588,-2.2225,0,1765206957.639571,0,50.0,0.0,0.13901116380068546,0.0
XRP-EUR,1.9198662232257073,1.78712,-2.4133,0,1765206964.129175,0,50.0,0.0,1.9198662232257073,0.0
MOODENG-EUR,0.07989,0.082,0.5329,1,1765207011.0135956,0,50.0,0.0,0.07989,0.0
APT-EUR,1.5028682426822926,0.0,0.0,0,1765207345.7733524,0,50.0,0.0,1.5028682426822926,0.0
CRV-EUR,0.35463980672713163,0.0,0.0,0,1765207345.7733524,0,50.0,0.0,0.35463980672713163,0.0
SUI-EUR,1.38,0.0,0.0,0,1765207345.7733524,0,50.0,0.0,1.38,0.0
POL-EUR,0.10663538654180228,0.0,0.0,0,1765207345.7733524,0,50.0,0.0,0.10663538654180228,0.0
HBAR-EUR,0.11,0.0,0.0,0,1765207421.657771,0,50.0,0.0,0.11,0.0
APT-EUR,1.5028682426822926,1.5328,0.0598,1,1765212963.0493147,0,50.0,0.0,1.5028682426822926,0.0
CRV-EUR,0.35463980672713163,0.0,0.0,0,1765213508.3363614,0,50.0,0.0,0.35463980672713163,0.0
SUI-EUR,1.38,0.0,0.0,0,1765213508.3363614,0,50.0,0.0,1.38,0.0
POL-EUR,0.10663538654180228,0.0,0.0,0,1765213508.3363614,0,50.0,0.0,0.10663538654180228,0.0
DOT-EUR,1.942993499426393,1.8204,-0.0,0,1765221710.9678035,0,50.0,0.0,1.942993499426393,0.0
CRV-EUR,0.3416265060282535,0.0,0.0,0,1765224347.9108932,0,50.0,0.0,0.3416265060282535,0.0
SUI-EUR,1.382246832535784,0.0,0.0,0,1765224347.9108932,0,50.0,0.0,1.382246832535784,0.0
POL-EUR,0.10671316239995739,0.0,0.0,0,1765224347.9108932,0,50.0,0.0,0.10671316239995739,0.0
APT-EUR,1.5489,1.5576,-0.0,0,1765231660.1078026,0,50.0,0.0,1.5489,0.0
SUI-EUR,1.382246832535784,1.4007,0.1437,1,1765231921.034893,0,50.0,0.0,1.382246832535784,0.0
DOT-EUR,1.942993499426393,1.8316,-0.0,0,1765237629.2858107,0,50.0,0.0,1.942993499426393,0.0
DOT-EUR,1.942993499426393,1.8288,-0.0,0,1765243733.9625764,0,50.0,0.0,1.942993499426393,0.0
DOT-EUR,1.942993499426393,1.8026,-0.0,0,1765261241.2294612,0,50.0,0.0,1.942993499426393,0.0
DOT-EUR,1.942993499426393,1.8202,-0.0,0,1765267662.4056544,0,50.0,0.0,1.942993499426393,0.0
MOODENG-EUR,0.08096240603074308,0.07682,-4.7168,0,1765276962.013702,0,50.0,0.0,0.08096240603074308,0.0
CRV-EUR,0.3416265060282535,0.0,0.0,0,1765289896.753692,0,50.0,0.0,0.3416265060282535,0.0
POL-EUR,0.10671316239995739,0.0,0.0,0,1765289896.753692,0,50.0,0.0,0.10671316239995739,0.0
MOODENG-EUR,0.07622108180884277,0.07935,3.9711,1,1765313877.3109248,0,50.0,0.0,0.07622108180884277,0.0
CRV-EUR,0.3407204951844417,0.35083,0.1401,1,1765317415.030642,0,50.0,0.0,0.3407204951844417,0.0
POL-EUR,0.10671316239995737,0.10789,0.0164,1,1765317438.2714381,0,50.0,0.0,0.10671316239995737,0.0
GRT-EUR,0.039614,0.040717,0.0959,1,1765321837.0146253,0,50.0,0.0,0.039614,0.0
USDC-EUR,0.8610851509884109,0.0,0.0,0,1765345133.9103706,0,50.0,0.0,0.8610851509884109,0.0
LINK-EUR,12.026257817031164,12.134,0.0107,1,1765351316.9750364,0,50.0,0.0,12.026257817031164,0.0
SOL-EUR,123.62175182659489,0.0,0.0,0,1765351578.5058775,0,50.0,0.0,123.62175182659489,0.0
ALGO-EUR,0.11912781996149034,0.0,0.0,0,1765351578.5058775,0,50.0,0.0,0.11912781996149034,0.0
PHA-EUR,0.03907368421122827,0.0,0.0,0,1765351578.5058775,0,50.0,0.0,0.03907368421122827,0.0
MOODENG-EUR,0.07994786452650157,0.0,0.0,0,1765351578.5058775,0,50.0,0.0,0.07994786452650157,0.0
WOO-EUR,0.023956,0.0,0.0,0,1765351578.5058775,0,50.0,0.0,0.023956,0.0
SOL-EUR,145.11917588787267,119.02,-2.6871,0,1765351731.1478639,0,50.0,0.0,145.11917588787267,0.0
ALGO-EUR,0.13812855994878834,0.11694,-2.2371,0,1765351741.9169838,0,50.0,0.0,0.13812855994878834,0.0
CHZ-EUR,0.02,0.0,0.0,0,1765352443.1282985,0,50.0,0.0,0.02,0.0
GALA-EUR,0.008366137399213217,0.006475,-3.6058,0,1765359512.6262188,0,50.0,0.0,0.008366137399213217,0.0
PHA-EUR,0.038976,0.037,-0.7002,0,1765375083.200209,0,50.0,0.0,0.038976,0.0
PEPE-EUR,4.097344715756955e-06,3.8138e-06,-0.9231,0,1765440508.2624235,0,50.0,0.0,4.097344715756955e-06,0.0
KAVA-EUR,0.09584970765839164,0.08973,-0.8591,0,1765440528.735613,0,50.0,0.0,0.09584970765839164,0.0
WOO-EUR,0.024016040100400947,0.02425,0.0204,1,1765489196.3187885,0,50.0,0.0,0.024016040100400947,0.0
MOODENG-EUR,0.07570838276459825,0.0,0.0,0,1765712711.2349813,0,50.0,0.0,0.07570838276459825,0.0
PEPE-EUR,3.455091955057581e-06,3.4877e-06,0.0273,1,1765902438.2757988,0,50.0,0.0,3.455091955057581e-06,0.0
ALGO-EUR,0.09918233578065466,0.10001,0.0055,1,1765910813.316633,0,50.0,0.0,0.09918233578065466,0.0
TIA-EUR,0.43509774447443117,0.43891,0.0087,1,1765910940.9824526,0,50.0,0.0,0.43509774447443117,0.0
COTI-EUR,0.019103759398787345,0.0,0.0,0,1765968828.1967275,0,50.0,0.0,0.019103759398787345,0.0
XRP-EUR,1.7000964235054212,0.0,0.0,0,1765968828.1967275,0,50.0,0.0,1.7000964235054212,0.0
DYDX-EUR,0.15498746868970278,0.0,0.0,0,1765968828.1967275,0,50.0,0.0,0.15498746868970278,0.0
SOL-EUR,121.65667146481218,0.0,0.0,0,1765968828.1967275,0,50.0,0.0,121.65667146481218,0.0
ADA-EUR,0.3425030369225389,0.0,0.0,0,1765968828.1967275,0,50.0,0.0,0.3425030369225389,0.0
INJ-EUR,4.2546184947415036,0.0,0.0,0,1765968828.1967275,0,50.0,0.0,4.2546184947415036,0.0
SHIB-EUR,6.7448621771162814e-06,0.0,0.0,0,1765968828.1967275,0,50.0,0.0,6.7448621771162814e-06,0.0
LINK-EUR,11.718037991648519,0.0,0.0,0,1765968828.1967275,0,50.0,0.0,11.718037991648519,0.0
ENA-EUR,0.19036852837430562,0.0,0.0,0,1765968828.1967275,0,50.0,0.0,0.19036852837430562,0.0
MOODENG-EUR,0.06384977938790236,0.0,0.0,0,1765968828.1967275,0,50.0,0.0,0.06384977938790236,0.0
FET-EUR,0.18165,0.18269,-0.0,0,1765970233.38894,0,50.0,0.0,0.18165,0.0
INJ-EUR,4.1045,4.1258,-0.0137,0,1765971195.581236,0,50.0,0.0,4.1045,0.0
THQ-EUR,0.060414,0.0,0.0,0,1765978658.6234396,0,50.0,0.0,0.060414,0.0
DOT-EUR,1.5967,1.6096,0.0002,1,1765986323.8992646,0,50.0,0.0,1.5967,0.0
SOL-EUR,108.29,109.77,0.0657,1,1765986390.4327295,0,50.0,0.0,108.29,0.0
ADA-EUR,0.32343,0.32871,0.0972,1,1765986465.3986263,0,50.0,0.0,0.32343,0.0
